algorithm,dataset,size,trial,nanoseconds
MergeSort,reversed,10000,1,553800
MergeSort,reversed,10000,2,568000
MergeSort,reversed,10000,3,585500
MergeSort,reversed,10000,4,524600
MergeSort,reversed,10000,5,506200
QuickSort,reversed,10000,1,312100
QuickSort,reversed,10000,2,302100
QuickSort,reversed,10000,3,306500
QuickSort,reversed,10000,4,307600
QuickSort,reversed,10000,5,318000
InsertionSort,reversed,20000,1,88526600
InsertionSort,reversed,20000,2,83414800
InsertionSort,reversed,20000,3,82944100
InsertionSort,reversed,20000,4,82719800
InsertionSort,reversed,20000,5,89406600
MergeSort,reversed,20000,1,1323900
MergeSort,reversed,20000,2,1315600
MergeSort,reversed,20000,3,1305100
MergeSort,reversed,20000,4,1291600
MergeSort,reversed,20000,5,1226000
QuickSort,reversed,20000,1,732400
QuickSort,reversed,20000,2,717500
QuickSort,reversed,20000,3,729200
QuickSort,reversed,20000,4,712900
QuickSort,reversed,20000,5,711600
